,year,month,customer_type,monthly_usage,zip_code,geometry,latitude,longitude,geo
10584,2017.0,6,COMMERCIAL,454642.0,37218,"(36.210699, -86.866798)",36.210699,-86.86679,POINT (-86.86678999999999 36.210699)
10585,2017.0,6,SEASONAL CUSTOMER,1480.0,37072,"(36.350389, -86.731255)",36.350389,-86.73125,POINT (-86.73125 36.350389)
10586,2017.0,6,OUTDOOR LIGHTING,2753.0,37205,"(36.112469, -86.867263)",36.112469,-86.86726,POINT (-86.86726 36.112469)
10587,2017.0,6,OUTDOOR LIGHTING,4800.0,37220,"(36.06788, -86.776955)",86.776955,-86.77695,POINT (-86.77695 86.776955)
10588,2017.0,6,COMMERCIAL,25332.0,37243,"(36.166899, -86.77672)",36.166899,-86.77672,POINT (-86.77672 36.166899)
10589,2017.0,6,COMMERCIAL,20184.0,37143,"(36.12259, -87.03587)",,-87.03587,POINT (-87.03587 nan)
10590,2017.0,6,COMMERCIAL,27885159.0,37209,"(36.149599, -86.874487)",36.149599,-86.87448,POINT (-86.87448000000001 36.149599)
10591,2017.0,6,SEASONAL CUSTOMER,25760.0,37205,"(36.112469, -86.867263)",36.112469,-86.86726,POINT (-86.86726 36.112469)
10592,2017.0,6,COMMERCIAL,27618853.0,37214,"(36.168995, -86.667231)",36.168995,-86.66723,POINT (-86.66723 36.168995)
10593,2017.0,6,COMMERCIAL,165377.0,37220,"(36.06788, -86.776955)",86.776955,-86.77695,POINT (-86.77695 86.776955)
10594,2017.0,6,RESIDENTIAL,7250462.0,37205,"(36.112469, -86.867263)",36.112469,-86.86726,POINT (-86.86726 36.112469)
10595,2017.0,6,OUTDOOR LIGHTING,31128.0,37212,"(36.133256, -86.801456)",36.133256,-86.80145,POINT (-86.80145 36.133256)
10596,2017.0,6,COMMERCIAL,176892.0,37201,"(36.164553, -86.776977)",36.164553,-86.77697,POINT (-86.77697000000001 36.164553)
10597,2017.0,6,RESIDENTIAL,7403897.0,37013,"(36.049335, -86.641832)",36.049335,-86.64183,POINT (-86.64183 36.049335)
10598,2017.0,6,COMMERCIAL,815950.0,37076,"(36.175185, -86.5933)",36.175185,,POINT (nan 36.175185)
10599,2017.0,6,COMMERCIAL,831275.0,37027,"(36.00245, -86.778709)",86.778709,-86.77870,POINT (-86.7787 86.77870900000001)
10600,2017.0,6,RESIDENTIAL,1388181.0,37210,"(36.140869, -86.738847)",36.140869,-86.73884,POINT (-86.73884 36.140869)
10601,2017.0,6,COMMERCIAL,894484.0,37215,"(36.091316, -86.827959)",36.091316,-86.82795,POINT (-86.82795 36.091316)
10602,2017.0,6,COMMERCIAL,5039701.0,37215,"(36.091316, -86.827959)",36.091316,-86.82795,POINT (-86.82795 36.091316)
10603,2017.0,6,OUTDOOR LIGHTING,86543.0,37075,"(36.323052, -86.60557)",36.323052,-86.60557,POINT (-86.60557 36.323052)
10604,2017.0,6,COMMERCIAL,1034500.0,37229,"(36.166687, -86.779932)",36.166687,-86.77993,POINT (-86.77992999999999 36.166687)
10605,2017.0,6,RESIDENTIAL,16699.0,37219,"(36.167467, -86.783669)",36.167467,-86.78366,POINT (-86.78366 36.167467)
